update,transitions,high_reward_mean,high_reward_sum,duration_mean,detected_targets_mean,visited_targets_mean,retired_agents_mean,success_rate,entropy_reduction_mean,actor_explore_actions,actor_target_actions,actor_invalid_actions,actor_nonfinite_logits,actor_valid_target_actions,policy_loss,value_loss,entropy,approx_kl,clip_fraction
40,1023,1.9338085651397705,1978.2861328125,12.232648849487305,2.046875,1.84375,1.84375,0.09375,2462.82373046875,902,121,0,0,121,-0.0009215009631589055,47.24821472167969,1.407694697380066,8.095141674857587e-05,0.00024461839348077774
41,1008,2.020413875579834,2036.5771484375,12.237103462219238,2.046875,1.859375,1.859375,0.140625,2425.8916015625,887,121,0,0,121,-0.00040311459451913834,47.957942962646484,1.4058499336242676,0.00011518961400724947,0.0
42,1079,1.6208711862564087,1748.9200439453125,12.222428321838379,1.953125,1.6875,1.6875,0.046875,2547.919677734375,969,110,0,0,110,0.014813870191574097,38.104610443115234,1.4292696714401245,0.0001676159881753847,0.00032552084303461015
43,1012,1.804310917854309,1825.9625244140625,12.235177993774414,1.984375,1.734375,1.734375,0.046875,2341.798828125,899,113,0,0,113,-0.0015997490845620632,41.54168701171875,1.4167779684066772,0.0005144235910847783,0.0037324221339076757
44,1050,1.747848629951477,1835.2410888671875,11.979047775268555,1.984375,1.734375,1.734375,0.078125,2408.39013671875,939,111,0,0,111,-0.011256985366344452,42.28804397583008,1.4125514030456543,0.0005133489612489939,0.0016276041278615594
45,932,1.9862312078475952,1851.16748046875,12.887338638305664,2.015625,1.765625,1.765625,0.0625,2248.310546875,815,117,0,0,117,-7.656775414943695e-05,43.835933685302734,1.3928155899047852,6.165747618069872e-05,0.0
46,1010,1.8604849576950073,1879.0897216796875,12.179207801818848,2.0625,1.78125,1.78125,0.0625,2400.510498046875,891,119,0,0,119,-9.348007733933628e-05,41.997474670410156,1.400496482849121,2.8563004889292642e-05,0.0
47,990,1.7598776817321777,1742.27880859375,12.749494552612305,1.90625,1.6875,1.6875,0.046875,2358.27001953125,874,116,0,0,116,-0.0014015089254826307,40.12389373779297,1.402274489402771,7.0320995291695e-05,0.0
48,1045,1.8072611093521118,1888.587890625,11.739712715148926,1.953125,1.75,1.75,0.125,2374.36767578125,927,118,0,0,118,0.05037715658545494,42.041099548339844,1.37309992313385,0.0001778623991413042,0.0
49,1032,1.7958117723464966,1853.2777099609375,12.10465145111084,2.0625,1.765625,1.765625,0.046875,2410.2998046875,915,117,0,0,117,-0.014884404838085175,41.55072021484375,1.411198616027832,6.0308113461360335e-05,0.00016276042151730508
50,1013,1.7991001605987549,1822.4884033203125,12.329713821411133,1.953125,1.734375,1.734375,0.0625,2369.186279296875,896,117,0,0,117,-0.0014964141882956028,39.274253845214844,1.4009041786193848,0.00029301131144165993,0.0012421446153894067
51,999,2.0216455459594727,2019.6239013671875,12.217217445373535,2.171875,1.859375,1.859375,0.09375,2376.2470703125,872,127,0,0,127,-0.0008309944532811642,41.99388122558594,1.3947575092315674,0.00021980697056278586,0.0005133470403961837
52,1078,1.6289316415786743,1755.98828125,12.22449016571045,1.921875,1.6875,1.6875,0.046875,2551.47509765625,965,113,0,0,113,0.013653159141540527,35.793975830078125,1.4373607635498047,9.116750879911706e-05,0.0
53,1035,2.025916337966919,2096.823486328125,12.083091735839844,2.125,1.921875,1.921875,0.09375,2438.72119140625,909,126,0,0,126,-0.053954869508743286,39.896522521972656,1.3903597593307495,1.0844974895007908e-05,0.0
